pixel_radius,depth_tolerance_m,total_candidates,bound_count,bound_ratio,status_counts
0,0.08,4000,1653,0.41325,"{""background"": 1773, ""bound"": 1653, ""depth-mismatch"": 574}"
0,0.12,4000,1755,0.43875,"{""background"": 1773, ""bound"": 1755, ""depth-mismatch"": 472}"
0,0.2,4000,2105,0.52625,"{""background"": 1773, ""bound"": 2105, ""depth-mismatch"": 122}"
0,,4000,2227,0.55675,"{""background"": 1773, ""bound"": 2227}"
2,0.08,4000,1718,0.4295,"{""background"": 1692, ""bound"": 1718, ""depth-mismatch"": 590}"
2,0.12,4000,1824,0.456,"{""background"": 1692, ""bound"": 1824, ""depth-mismatch"": 484}"
2,0.2,4000,2183,0.54575,"{""background"": 1692, ""bound"": 2183, ""depth-mismatch"": 125}"
2,,4000,2308,0.577,"{""background"": 1692, ""bound"": 2308}"
3,0.08,4000,1757,0.43925,"{""background"": 1645, ""bound"": 1757, ""depth-mismatch"": 598}"
3,0.12,4000,1865,0.46625,"{""background"": 1645, ""bound"": 1865, ""depth-mismatch"": 490}"
3,0.2,4000,2230,0.5575,"{""background"": 1645, ""bound"": 2230, ""depth-mismatch"": 125}"
3,,4000,2355,0.58875,"{""background"": 1645, ""bound"": 2355}"
5,0.08,4000,1813,0.45325,"{""background"": 1563, ""bound"": 1813, ""depth-mismatch"": 624}"
5,0.12,4000,1931,0.48275,"{""background"": 1563, ""bound"": 1931, ""depth-mismatch"": 506}"
5,0.2,4000,2308,0.577,"{""background"": 1563, ""bound"": 2308, ""depth-mismatch"": 129}"
5,,4000,2437,0.60925,"{""background"": 1563, ""bound"": 2437}"
8,0.08,4000,1907,0.47675,"{""background"": 1432, ""bound"": 1907, ""depth-mismatch"": 661}"
8,0.12,4000,2033,0.50825,"{""background"": 1432, ""bound"": 2033, ""depth-mismatch"": 535}"
8,0.2,4000,2433,0.60825,"{""background"": 1432, ""bound"": 2433, ""depth-mismatch"": 135}"
8,,4000,2568,0.642,"{""background"": 1432, ""bound"": 2568}"
