pixel_radius,depth_tolerance_m,total_candidates,bound_count,bound_ratio,status_counts
0,0.08,1400,553,0.395,"{""background"": 847, ""bound"": 553}"
0,0.12,1400,553,0.395,"{""background"": 847, ""bound"": 553}"
0,0.2,1400,553,0.395,"{""background"": 847, ""bound"": 553}"
0,,1400,553,0.395,"{""background"": 847, ""bound"": 553}"
2,0.08,1400,583,0.4164285714285714,"{""background"": 817, ""bound"": 583}"
2,0.12,1400,583,0.4164285714285714,"{""background"": 817, ""bound"": 583}"
2,0.2,1400,583,0.4164285714285714,"{""background"": 817, ""bound"": 583}"
2,,1400,583,0.4164285714285714,"{""background"": 817, ""bound"": 583}"
3,0.08,1400,595,0.425,"{""background"": 804, ""bound"": 595, ""depth-mismatch"": 1}"
3,0.12,1400,596,0.4257142857142857,"{""background"": 804, ""bound"": 596}"
3,0.2,1400,596,0.4257142857142857,"{""background"": 804, ""bound"": 596}"
3,,1400,596,0.4257142857142857,"{""background"": 804, ""bound"": 596}"
5,0.08,1400,621,0.44357142857142856,"{""background"": 775, ""bound"": 621, ""depth-mismatch"": 4}"
5,0.12,1400,624,0.44571428571428573,"{""background"": 775, ""bound"": 624, ""depth-mismatch"": 1}"
5,0.2,1400,624,0.44571428571428573,"{""background"": 775, ""bound"": 624, ""depth-mismatch"": 1}"
5,,1400,625,0.44642857142857145,"{""background"": 775, ""bound"": 625}"
8,0.08,1400,647,0.46214285714285713,"{""background"": 744, ""bound"": 647, ""depth-mismatch"": 9}"
8,0.12,1400,653,0.4664285714285714,"{""background"": 744, ""bound"": 653, ""depth-mismatch"": 3}"
8,0.2,1400,653,0.4664285714285714,"{""background"": 744, ""bound"": 653, ""depth-mismatch"": 3}"
8,,1400,656,0.4685714285714286,"{""background"": 744, ""bound"": 656}"
